university,version,attribute,count,nan_count,nan_perc
exeter,2024-05-16,link,128,0,0.0
exeter,2024-05-16,title,128,0,0.0
exeter,2024-05-16,study_level,128,0,0.0
exeter,2024-05-16,qualification,128,0,0.0
exeter,2024-05-16,university_title,128,0,0.0
exeter,2024-05-16,description,128,0,0.0
exeter,2024-05-16,about,128,0,0.0
exeter,2024-05-16,entry_requirements,128,0,0.0
exeter,2024-05-16,locations,128,0,0.0
exeter,2024-05-16,start_dates,128,1,0.78125
exeter,2024-05-16,application_dates,128,0,0.0
exeter,2024-05-16,tuitions,128,0,0.0
exeter,2024-05-16,tuition__study_mode,443,0,0.0
exeter,2024-05-16,tuition__duration,443,0,0.0
exeter,2024-05-16,tuition__student_category,443,0,0.0
exeter,2024-05-16,tuition__fee,443,2,0.4514672686230248
exeter,2024-05-16,language_requirements,128,0,0.0
exeter,2024-05-16,language_requirement__language,5632,0,0.0
exeter,2024-05-16,language_requirement__test,5632,0,0.0
exeter,2024-05-16,language_requirement__score,5632,0,0.0
exeter,2024-05-16,modules,128,0,0.0
exeter,2024-05-16,module__type,1946,0,0.0
exeter,2024-05-16,module__title,1946,0,0.0
exeter,2024-05-16,module__link,1946,1946,100.0
