university,version,attribute,count,nan_count,nan_perc
standrews,2024-04-27,link,129,0,0.0
standrews,2024-04-27,title,129,0,0.0
standrews,2024-04-27,study_level,129,0,0.0
standrews,2024-04-27,qualification,129,3,2.3255813953488373
standrews,2024-04-27,university_title,129,0,0.0
standrews,2024-04-27,description,129,0,0.0
standrews,2024-04-27,about,129,0,0.0
standrews,2024-04-27,entry_requirements,129,0,0.0
standrews,2024-04-27,locations,129,1,0.7751937984496124
standrews,2024-04-27,start_dates,129,0,0.0
standrews,2024-04-27,application_dates,129,9,6.976744186046512
standrews,2024-04-27,tuitions,129,0,0.0
standrews,2024-04-27,tuition__study_mode,258,0,0.0
standrews,2024-04-27,tuition__duration,258,0,0.0
standrews,2024-04-27,tuition__student_category,258,0,0.0
standrews,2024-04-27,tuition__fee,258,4,1.550387596899225
standrews,2024-04-27,language_requirements,129,0,0.0
standrews,2024-04-27,language_requirement__language,1025,0,0.0
standrews,2024-04-27,language_requirement__test,1025,0,0.0
standrews,2024-04-27,language_requirement__score,1025,0,0.0
standrews,2024-04-27,modules,129,0,0.0
standrews,2024-04-27,module__type,1453,0,0.0
standrews,2024-04-27,module__title,1453,0,0.0
standrews,2024-04-27,module__link,1453,51,3.509979353062629
